@relation Registro

@attribute Estacion {Primavera, Verano, Otono, Invierno}
@attribute year numeric
@attribute Edad numeric
@attribute NecesitaPermiso {Si, No}
@attribute TienePermiso {Si, No}
@attribute Genero {Masculino, Femenino}
@attribute SeCaso {Si, No}
@data
'Invierno', 2022, 59, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 41, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 18, 'No', 'No', 'Masculino', 'No'
'Otono', 2022, 16, 'Si','Si', 'Femenino', 'Si'
'Otono', 2022, 21, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 34, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 25, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 41, 'Si', 'No', 'Masculino', 'Si'
'Invierno', 2020, 56, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 38, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 51, 'No', 'No', 'Masculino', 'No'
'Otono', 2022, 17, 'Si','Si', 'Masculino', 'Si'
'Primavera', 2021, 35, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 28, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 45, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 27, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 44, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 34, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 19, 'No', 'No', 'Masculino', 'No'
'Otono', 2022, 39, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 55, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 35, 'No', 'No', 'Masculino', 'Si'
'Otono', 2022, 42, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 20, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 47, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 58, 'No', 'No', 'Femenino', 'No'
'Invierno', 2021, 29, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 46, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 48, 'No', 'No', 'Masculino', 'No'
